Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Krško,2018,11,Dolenjska
Samooskrba,Dobova,2018,11,Dolenjska
Samooskrba,Gradac,2018,15,Dolenjska
Samooskrba,Sevnica,2018,10.83,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Veliki Gaber,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Šentjernej,2018,10,Dolenjska
Samooskrba,Šentjernej,2018,10,Dolenjska
Samooskrba,Trebnje,2018,10,Dolenjska
Samooskrba,Artiče,2018,11.16,Dolenjska
Samooskrba,Šentjernej,2018,10,Dolenjska
Samooskrba,Gradac,2018,10,Dolenjska
Samooskrba,Novo mesto,2018,9,Dolenjska
Samooskrba,Suhor,2018,7,Dolenjska
Samooskrba,Krško,2018,11,Dolenjska
Samooskrba,Boštanj,2018,7,Dolenjska
Samooskrba,Šentrupert,2018,10.98,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,11,Dolenjska
Samooskrba,Sevnica,2018,11,Dolenjska
Samooskrba,Krško,2018,11,Dolenjska
Samooskrba,Krško,2018,7,Dolenjska
Samooskrba,Blanca,2018,8.4,Dolenjska
Samooskrba,Leskovec pri Krškem,2018,3.18,Dolenjska
Samooskrba,Novo mesto,2018,10,Dolenjska
Samooskrba,Šenčur,2016,5.7,Gorenjska
Samooskrba,Selca,2016,8,Gorenjska
Samooskrba,Preddvor,2016,11,Gorenjska
Samooskrba,Železniki,2016,11,Gorenjska
Samooskrba,Žirovnica,2016,7.5,Gorenjska
Samooskrba,Križe,2016,8,Gorenjska
Samooskrba,Duplje,2016,11,Gorenjska
Samooskrba,Škofja Loka,2016,10,Gorenjska
Samooskrba,Žirovnica,2016,6.12,Gorenjska
Samooskrba,Žirovnica,2016,10.9,Gorenjska
Samooskrba,Kranj,2016,6,Gorenjska
Samooskrba,Železniki,2016,10.45,Gorenjska
Samooskrba,Žirovnica,2016,10.45,Gorenjska
Samooskrba,Žirovnica,2016,10,Gorenjska
Samooskrba,Visoko,2016,10,Gorenjska
Samooskrba,Kranjska Gora,2016,7,Gorenjska
Samooskrba,Kranj,2016,7.13,Gorenjska
Samooskrba,Žiri ,2016,7.25,Gorenjska
Samooskrba,Mojstrana,2016,7,Gorenjska
Samooskrba,Mavčiče,2016,3,Gorenjska
Samooskrba,Mavčiče,2016,3,Gorenjska
Samooskrba,Kranj,2016,5,Gorenjska
Samooskrba,Žirovnica,2016,10.45,Gorenjska
Samooskrba,Bled,2016,5,Gorenjska
Samooskrba,Kranj,2017,10,Gorenjska
Samooskrba,Škofja Loka,2017,10.83,Gorenjska
Samooskrba,Tržič,2017,7.15,Gorenjska
Samooskrba,Kranj,2017,10.5,Gorenjska
Samooskrba,Kranj,2017,5,Gorenjska
Samooskrba,Selca,2017,10.26,Gorenjska
Samooskrba,Lesce,2017,10.26,Gorenjska
Samooskrba,Mavčiče,2017,11,Gorenjska
Samooskrba,Kranj,2017,10,Gorenjska
Samooskrba,Žirovnica,2017,7.2,Gorenjska
Samooskrba,Selca,2017,10,Gorenjska
Samooskrba,Naklo,2017,10,Gorenjska
Samooskrba,Selca,2017,10.83,Gorenjska
Samooskrba,Šenčur,2017,9.53,Gorenjska
Samooskrba,Naklo,2017,10,Gorenjska
Samooskrba,Žirovnica,2017,3.7,Gorenjska
Samooskrba,Škofja Loka,2017,9,Gorenjska
Samooskrba,Tržič,2017,10.83,Gorenjska
Samooskrba,Bohinjska Bistrica,2017,10.83,Gorenjska
Samooskrba,Jesenice,2017,8.55,Gorenjska
Samooskrba,Škofja Loka,2017,5.99,Gorenjska
Samooskrba,Škofja Loka,2017,7.7,Gorenjska
Samooskrba,Naklo,2017,10,Gorenjska
Samooskrba,Škofja Loka,2017,10.83,Gorenjska
